"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"P07v2o",1,1,2024,2,"Afghanistan","AFG","AFG",192,"Togo","TOG","TGO","0",7,"0","-","0","0","0"
1,"P07v2o",1,2,2025,2,"Afghanistan","AFG","AFG",192,"Togo","TOG","TGO",7,"0","0","-","0","0","0"
1,"P07v2o",1,3,1993,6,"Angola","ANG","AGO",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,4,1994,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",16,"0","0","-","0","0","0"
1,"P07v2o",1,5,1995,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",16,"0","0","-","0","0","0"
1,"P07v2o",1,6,1996,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",33,"0","0","-","0","0","0"
1,"P07v2o",1,7,1997,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",36,"0","0","-","0","0","0"
1,"P07v2o",1,8,1998,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",55,"0","0","-","0","0","0"
1,"P07v2o",1,9,1999,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",56,"0","0","-","0","0","0"
1,"P07v2o",1,10,2000,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",61,5,"0","-","0","0","0"
1,"P07v2o",1,11,2001,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",62,"0","0","-","0","0","0"
1,"P07v2o",1,12,2002,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",63,"0","0","-","0","0","0"
1,"P07v2o",1,13,2003,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",63,5,"0","-","0","0","0"
1,"P07v2o",1,14,2004,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",62,5,"0","-","0","0","0"
1,"P07v2o",1,15,2005,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",60,5,"0","-","0","0","0"
1,"P07v2o",1,16,2006,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",57,5,"0","-","0","0","0"
1,"P07v2o",1,17,2007,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",57,"0","0","-","0","0","0"
1,"P07v2o",1,18,2008,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",57,"0","0","-","0","0","0"
1,"P07v2o",1,19,2009,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",9,"0","0","-","0","0","0"
1,"P07v2o",1,20,2010,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",9,"0","0","-","0","0","0"
1,"P07v2o",1,21,2011,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",9,"0","0","-","0","0","0"
1,"P07v2o",1,22,2012,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",10,"0","0","-","0","0","0"
1,"P07v2o",1,23,2013,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,24,2014,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,25,2015,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,26,2016,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,27,2017,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,28,2018,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,29,2019,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,30,2020,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,31,2021,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,32,2022,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,33,2023,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,34,2024,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,35,2025,16,"Burundi","BDI","BDI",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,36,1976,18,"Benin","BEN","BEN",192,"Togo","TOG","TGO",100,"0","0","-","0","0","0"
1,"P07v2o",1,37,2011,18,"Benin","BEN","BEN",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,38,2012,18,"Benin","BEN","BEN",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
1,"P07v2o",1,39,2019,18,"Benin","BEN","BEN",192,"Togo","TOG","TGO","0",5,"0","-","0","0","0"
1,"P07v2o",1,40,2020,18,"Benin","BEN","BEN",192,"Togo","TOG","TGO","0",11,"0","-","0","0","0"
1,"P07v2o",1,41,2021,18,"Benin","BEN","BEN",192,"Togo","TOG","TGO",21,30,"0","-","0","0","0"
1,"P07v2o",1,42,2022,18,"Benin","BEN","BEN",192,"Togo","TOG","TGO",37,12,"0","-","0","0","0"
1,"P07v2o",1,43,2023,18,"Benin","BEN","BEN",192,"Togo","TOG","TGO",21,"0","0","-","0","0","0"
1,"P07v2o",1,44,2024,18,"Benin","BEN","BEN",192,"Togo","TOG","TGO",23,5,"0","-","0","0","0"
1,"P07v2o",1,45,2025,18,"Benin","BEN","BEN",192,"Togo","TOG","TGO",25,5,"0","-","0","0","0"
1,"P07v2o",1,46,2016,23,"Burkina Faso","BKF","BFA",192,"Togo","TOG","TGO","0",5,"0","-","0","0","0"
1,"P07v2o",1,47,2017,23,"Burkina Faso","BKF","BFA",192,"Togo","TOG","TGO","0",5,"0","-","0","0","0"
1,"P07v2o",1,48,2018,23,"Burkina Faso","BKF","BFA",192,"Togo","TOG","TGO","0",5,"0","-","0","0","0"
1,"P07v2o",1,49,2019,23,"Burkina Faso","BKF","BFA",192,"Togo","TOG","TGO","0",5,"0","-","0","0","0"
1,"P07v2o",1,50,2022,23,"Burkina Faso","BKF","BFA",192,"Togo","TOG","TGO","0",7,"0","-","0","0","0"
1,"P07v2o",1,51,2023,23,"Burkina Faso","BKF","BFA",192,"Togo","TOG","TGO",19327,4159,"0","-","0","0","0"
1,"P07v2o",1,52,2024,23,"Burkina Faso","BKF","BFA",192,"Togo","TOG","TGO",38535,969,"0","-","0","0","0"
1,"P07v2o",1,53,2025,23,"Burkina Faso","BKF","BFA",192,"Togo","TOG","TGO",42455,3279,"0","-","0","0","0"
1,"P07v2o",1,54,2001,34,"Central African Rep.","CAR","CAF",192,"Togo","TOG","TGO",5,"0","0","-","0","0","0"
