"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","returned_refugees","idps","returned_idps","stateless","ooc","oip","hst"
1,"thS6HF",1,1,1994,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",103,"0",25,"0","0","0","0","-","0"
1,"thS6HF",1,2,1995,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",6,"0",14,"0","0","0","0","-","0"
1,"thS6HF",1,3,1996,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ","0","0",5,"0","0","0","0","-","0"
1,"thS6HF",1,4,1997,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",18,"0",5,"0","0","0","0","-","0"
1,"thS6HF",1,5,1998,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ","0","0",9,"0","0","0","0","-","0"
1,"thS6HF",1,6,2000,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ","0",34,"0","0","0","0","0","-","0"
1,"thS6HF",1,7,2001,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ","0",56,"0","0","0","0","0","-","0"
1,"thS6HF",1,8,2002,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ","0",68,"0","0","0","0","0","-","0"
1,"thS6HF",1,9,2003,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ","0",74,"0","0","0","0","0","-","0"
1,"thS6HF",1,10,2004,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ","0",73,"0","0","0","0","0","-","0"
1,"thS6HF",1,11,2005,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ","0",12,"0","0","0","0","0","-","0"
1,"thS6HF",1,12,2006,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ","0",9,"0","0","0","0","0","-","0"
1,"thS6HF",1,13,2007,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ","0",11,"0","0","0","0","0","-","0"
1,"thS6HF",1,14,2008,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ","0",11,"0","0","0","0","0","-","0"
1,"thS6HF",1,15,2009,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",6,5,"0","0","0","0","0","-","0"
1,"thS6HF",1,16,2010,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",6,5,"0","0","0","0","0","-","0"
1,"thS6HF",1,17,2011,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",6,5,"0","0","0","0","0","-","0"
1,"thS6HF",1,18,2012,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",5,5,"0","0","0","0","0","-","0"
1,"thS6HF",1,19,2013,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",5,5,"0","0","0","0","0","-","0"
1,"thS6HF",1,20,2014,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",5,5,"0","0","0","0","0","-","0"
1,"thS6HF",1,21,2015,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",5,5,"0","0","0","0","0","-","0"
1,"thS6HF",1,22,2018,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",5,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,23,2019,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",5,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,24,2020,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",5,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,25,2021,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",5,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,26,2022,6,"Angola","ANG","AGO",131,"Mozambique","MOZ","MOZ",5,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,27,1994,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",38,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,28,1995,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",42,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,29,1996,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",64,"0",6,"0","0","0","0","-","0"
1,"thS6HF",1,30,1997,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",7,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,31,1998,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",7,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,32,1999,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",71,"0",7,"0","0","0","0","-","0"
1,"thS6HF",1,33,2000,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",64,611,"0","0","0","0","0","-","0"
1,"thS6HF",1,34,2001,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",64,899,"0","0","0","0","0","-","0"
1,"thS6HF",1,35,2002,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",64,1194,"0","0","0","0","0","-","0"
1,"thS6HF",1,36,2003,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",97,1538,"0","0","0","0","0","-","0"
1,"thS6HF",1,37,2004,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",180,1053,16,"0","0","0","0","-","0"
1,"thS6HF",1,38,2005,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",442,642,17,"0","0","0","0","-","0"
1,"thS6HF",1,39,2006,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",605,680,5,"0","0","0","0","-","0"
1,"thS6HF",1,40,2007,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",687,817,"0","0","0","0","0","-","0"
1,"thS6HF",1,41,2008,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",718,963,32,"0","0","0","0","-","0"
1,"thS6HF",1,42,2009,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",827,736,13,"0","0","0","0","-","0"
1,"thS6HF",1,43,2010,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",934,883,"0","0","0","0","0","-","0"
1,"thS6HF",1,44,2011,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",927,1489,"0","0","0","0","0","-","0"
1,"thS6HF",1,45,2012,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",976,2110,8,"0","0","0","0","-","0"
1,"thS6HF",1,46,2013,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",965,3004,"0","0","0","0","0","-","0"
1,"thS6HF",1,47,2014,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",971,3722,"0","0","0","0","0","-","0"
1,"thS6HF",1,48,2015,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",1119,4835,"0","0","0","0","0","-","0"
1,"thS6HF",1,49,2016,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",991,4543,"0","0","0","0","0","-","0"
1,"thS6HF",1,50,2017,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",982,6770,"0","0","0","0","0","-","0"
1,"thS6HF",1,51,2018,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",1032,7176,"0","0","0","0","0","-","0"
1,"thS6HF",1,52,2019,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",906,7482,"0","0","0","0","0","-","0"
1,"thS6HF",1,53,2020,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",905,7875,"0","0","0","0","0","-","0"
1,"thS6HF",1,54,2021,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",908,8353,47,"0","0","0","0","-","0"
1,"thS6HF",1,55,2022,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",946,8969,113,"0","0","0",183,"-","0"
1,"thS6HF",1,56,2023,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",1007,7293,58,"0","0","0",584,"-","0"
1,"thS6HF",1,57,2024,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",1083,7476,12,"0","0","0",799,"-","0"
1,"thS6HF",1,58,2025,16,"Burundi","BDI","BDI",131,"Mozambique","MOZ","MOZ",1085,7541,29,"0","0","0",747,"-","0"
1,"thS6HF",1,59,2003,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",5,"0","0","0","0","0","-","0"
1,"thS6HF",1,60,2014,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",5,"0","0","0","0","0","-","0"
1,"thS6HF",1,61,2015,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",5,"0","0","0","0","0","-","0"
1,"thS6HF",1,62,2016,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",5,"0","0","0","0","0","-","0"
1,"thS6HF",1,63,2017,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",5,"0","0","0","0","0","-","0"
1,"thS6HF",1,64,2018,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",5,"0","0","0","0","0","-","0"
1,"thS6HF",1,65,2019,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",5,"0","0","0","0","0","-","0"
1,"thS6HF",1,66,2020,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",12,"0","0","0","0","0","-","0"
1,"thS6HF",1,67,2021,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",12,"0","0","0","0","0","-","0"
1,"thS6HF",1,68,2022,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",8,"0","0","0","0","0","-","0"
1,"thS6HF",1,69,2023,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",8,"0","0","0","0","0","-","0"
1,"thS6HF",1,70,2024,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",8,"0","0","0","0","0","-","0"
1,"thS6HF",1,71,2025,34,"Central African Rep.","CAR","CAF",131,"Mozambique","MOZ","MOZ","0",8,"0","0","0","0","0","-","0"
1,"thS6HF",1,72,1993,37,"China","CHI","CHN",131,"Mozambique","MOZ","MOZ",148,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,73,1983,38,"Chile","CHL","CHL",131,"Mozambique","MOZ","MOZ",300,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,74,1984,38,"Chile","CHL","CHL",131,"Mozambique","MOZ","MOZ",250,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,75,1985,38,"Chile","CHL","CHL",131,"Mozambique","MOZ","MOZ",190,"0",70,"0","0","0","0","-","0"
1,"thS6HF",1,76,1986,38,"Chile","CHL","CHL",131,"Mozambique","MOZ","MOZ",140,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,77,1987,38,"Chile","CHL","CHL",131,"Mozambique","MOZ","MOZ",130,"0",60,"0","0","0","0","-","0"
1,"thS6HF",1,78,1988,38,"Chile","CHL","CHL",131,"Mozambique","MOZ","MOZ",130,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,79,1989,38,"Chile","CHL","CHL",131,"Mozambique","MOZ","MOZ",130,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,80,1990,38,"Chile","CHL","CHL",131,"Mozambique","MOZ","MOZ",160,"0","0","0","0","0","0","-","0"
1,"thS6HF",1,81,1991,38,"Chile","CHL","CHL",131,"Mozambique","MOZ","MOZ",160,"0","0","0","0","0","0","-","0"
