"page","short-url","maxPages","items","year","coo_id","coo_name","coo","coo_iso","coa_id","coa_name","coa","coa_iso","refugees","asylum_seekers","idps","oip","stateless","hst","ooc"
1,"aa5pKi",1,1,1968,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",3460,"0","0","-","0","0","0"
1,"aa5pKi",1,2,1970,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",4210,"0","0","-","0","0","0"
1,"aa5pKi",1,3,1971,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",8690,"0","0","-","0","0","0"
1,"aa5pKi",1,4,1972,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",4300,"0","0","-","0","0","0"
1,"aa5pKi",1,5,1973,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",4300,"0","0","-","0","0","0"
1,"aa5pKi",1,6,1974,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",2210,"0","0","-","0","0","0"
1,"aa5pKi",1,7,1975,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",1790,"0","0","-","0","0","0"
1,"aa5pKi",1,8,1976,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",120,"0","0","-","0","0","0"
1,"aa5pKi",1,9,1977,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",130,"0","0","-","0","0","0"
1,"aa5pKi",1,10,1978,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",210,"0","0","-","0","0","0"
1,"aa5pKi",1,11,1979,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",280,"0","0","-","0","0","0"
1,"aa5pKi",1,12,1980,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",330,"0","0","-","0","0","0"
1,"aa5pKi",1,13,1981,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",530,"0","0","-","0","0","0"
1,"aa5pKi",1,14,1984,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",70,"0","0","-","0","0","0"
1,"aa5pKi",1,15,1985,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",120,"0","0","-","0","0","0"
1,"aa5pKi",1,16,1986,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",170,"0","0","-","0","0","0"
1,"aa5pKi",1,17,1988,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",200,"0","0","-","0","0","0"
1,"aa5pKi",1,18,1989,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",200,"0","0","-","0","0","0"
1,"aa5pKi",1,19,1990,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",160,"0","0","-","0","0","0"
1,"aa5pKi",1,20,1991,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",170,"0","0","-","0","0","0"
1,"aa5pKi",1,21,1992,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",200,"0","0","-","0","0","0"
1,"aa5pKi",1,22,1993,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",219,"0","0","-","0","0","0"
1,"aa5pKi",1,23,1995,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",175,"0","0","-","0","0","0"
1,"aa5pKi",1,24,1996,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",158,"0","0","-","0","0","0"
1,"aa5pKi",1,25,1997,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",220,"0","0","-","0","0","0"
1,"aa5pKi",1,26,1998,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",150,"0","0","-","0","0","0"
1,"aa5pKi",1,27,1999,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",151,"0","0","-","0","0","0"
1,"aa5pKi",1,28,2000,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",742,"0","0","-","0","0","0"
1,"aa5pKi",1,29,2001,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",741,243,"0","-","0","0","0"
1,"aa5pKi",1,30,2002,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",754,363,"0","-","0","0","0"
1,"aa5pKi",1,31,2003,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",784,392,"0","-","0","0","0"
1,"aa5pKi",1,32,2004,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",750,386,"0","-","0","0","0"
1,"aa5pKi",1,33,2005,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",847,"0","0","-","0","0","0"
1,"aa5pKi",1,34,2006,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",858,"0","0","-","0","0","0"
1,"aa5pKi",1,35,2007,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",640,"0","0","-","0","0","0"
1,"aa5pKi",1,36,2008,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",487,"0","0","-","0","0","0"
1,"aa5pKi",1,37,2009,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",502,"0","0","-","0","0","0"
1,"aa5pKi",1,38,2010,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",512,"0","0","-","0","0","0"
1,"aa5pKi",1,39,2011,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA",497,"0","0","-","0","0","0"
1,"aa5pKi",1,40,2012,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",443
1,"aa5pKi",1,41,2013,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",49
1,"aa5pKi",1,42,2016,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",6
1,"aa5pKi",1,43,2017,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",6
1,"aa5pKi",1,44,2018,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",6
1,"aa5pKi",1,45,2019,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",6
1,"aa5pKi",1,46,2020,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",6
1,"aa5pKi",1,47,2021,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",6
1,"aa5pKi",1,48,2022,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",6
1,"aa5pKi",1,49,2023,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",6
1,"aa5pKi",1,50,2024,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",5
1,"aa5pKi",1,51,2025,6,"Angola","ANG","AGO",26,"Botswana","BOT","BWA","0","0","0","-","0","0",5
1,"aa5pKi",1,52,1993,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",6,"0","0","-","0","0","0"
1,"aa5pKi",1,53,1995,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",6,"0","0","-","0","0","0"
1,"aa5pKi",1,54,1996,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",11,"0","0","-","0","0","0"
1,"aa5pKi",1,55,1997,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",8,"0","0","-","0","0","0"
1,"aa5pKi",1,56,1998,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",14,"0","0","-","0","0","0"
1,"aa5pKi",1,57,1999,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",15,"0","0","-","0","0","0"
1,"aa5pKi",1,58,2000,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",16,5,"0","-","0","0","0"
1,"aa5pKi",1,59,2001,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",24,15,"0","-","0","0","0"
1,"aa5pKi",1,60,2002,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",44,24,"0","-","0","0","0"
1,"aa5pKi",1,61,2003,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",45,31,"0","-","0","0","0"
1,"aa5pKi",1,62,2004,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",56,10,"0","-","0","0","0"
1,"aa5pKi",1,63,2005,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",95,5,"0","-","0","0","0"
1,"aa5pKi",1,64,2006,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",105,"0","0","-","0","0","0"
1,"aa5pKi",1,65,2007,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",110,"0","0","-","0","0","0"
1,"aa5pKi",1,66,2008,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",72,18,"0","-","0","0","0"
1,"aa5pKi",1,67,2009,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",82,17,"0","-","0","0","0"
1,"aa5pKi",1,68,2010,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",61,17,"0","-","0","0","0"
1,"aa5pKi",1,69,2011,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",84,7,"0","-","0","0","0"
1,"aa5pKi",1,70,2012,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",67,5,"0","-","0","0","0"
1,"aa5pKi",1,71,2013,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",68,10,"0","-","0","0","0"
1,"aa5pKi",1,72,2014,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",73,12,"0","-","0","0","0"
1,"aa5pKi",1,73,2015,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",44,10,"0","-","0","0","0"
1,"aa5pKi",1,74,2016,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",45,13,"0","-","0","0",61
1,"aa5pKi",1,75,2017,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",46,5,"0","-","0","0",23
1,"aa5pKi",1,76,2018,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",50,34,"0","-","0","0","0"
1,"aa5pKi",1,77,2019,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",71,"0","0","-","0","0","0"
1,"aa5pKi",1,78,2020,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",73,"0","0","-","0","0","0"
1,"aa5pKi",1,79,2021,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",58,"0","0","-","0","0","0"
1,"aa5pKi",1,80,2022,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",48,"0","0","-","0","0","0"
1,"aa5pKi",1,81,2023,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",52,"0","0","-","0","0","0"
1,"aa5pKi",1,82,2024,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",46,"0","0","-","0","0","0"
1,"aa5pKi",1,83,2025,16,"Burundi","BDI","BDI",26,"Botswana","BOT","BWA",45,"0","0","-","0","0","0"
1,"aa5pKi",1,84,2022,26,"Botswana","BOT","BWA",26,"Botswana","BOT","BWA","0","0","0","-","0","0",28
1,"aa5pKi",1,85,2023,26,"Botswana","BOT","BWA",26,"Botswana","BOT","BWA","0","0","0","-","0","0",28
1,"aa5pKi",1,86,2024,26,"Botswana","BOT","BWA",26,"Botswana","BOT","BWA","0","0","0","-","0","0",29
1,"aa5pKi",1,87,2025,26,"Botswana","BOT","BWA",26,"Botswana","BOT","BWA","0","0","0","-","0","0",30
1,"aa5pKi",1,88,1991,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",124,"0","0","-","0","0","0"
1,"aa5pKi",1,89,1993,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",9,"0","0","-","0","0","0"
1,"aa5pKi",1,90,1995,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
1,"aa5pKi",1,91,1996,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
1,"aa5pKi",1,92,1997,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",25,"0","0","-","0","0","0"
1,"aa5pKi",1,93,1998,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",31,"0","0","-","0","0","0"
1,"aa5pKi",1,94,1999,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",32,"0","0","-","0","0","0"
1,"aa5pKi",1,95,2000,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",8,6,"0","-","0","0","0"
1,"aa5pKi",1,96,2001,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",11,63,"0","-","0","0","0"
1,"aa5pKi",1,97,2002,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",46,90,"0","-","0","0","0"
1,"aa5pKi",1,98,2003,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",47,94,"0","-","0","0","0"
1,"aa5pKi",1,99,2004,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",38,89,"0","-","0","0","0"
1,"aa5pKi",1,100,2005,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",161,5,"0","-","0","0","0"
1,"aa5pKi",1,101,2006,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",227,"0","0","-","0","0","0"
1,"aa5pKi",1,102,2007,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",230,"0","0","-","0","0","0"
1,"aa5pKi",1,103,2008,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",102,60,"0","-","0","0","0"
1,"aa5pKi",1,104,2009,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",111,71,"0","-","0","0","0"
1,"aa5pKi",1,105,2010,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",116,95,"0","-","0","0","0"
1,"aa5pKi",1,106,2011,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",160,64,"0","-","0","0","0"
1,"aa5pKi",1,107,2012,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",194,59,"0","-","0","0","0"
1,"aa5pKi",1,108,2013,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",174,57,"0","-","0","0","0"
1,"aa5pKi",1,109,2014,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",165,91,"0","-","0","0","0"
1,"aa5pKi",1,110,2015,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",80,91,"0","-","0","0","0"
1,"aa5pKi",1,111,2016,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",57,32,"0","-","0","0",515
1,"aa5pKi",1,112,2017,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",84,22,"0","-","0","0",195
1,"aa5pKi",1,113,2018,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",137,137,"0","-","0","0","0"
1,"aa5pKi",1,114,2019,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",120,67,"0","-","0","0","0"
1,"aa5pKi",1,115,2020,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",159,94,"0","-","0","0","0"
1,"aa5pKi",1,116,2021,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",239,41,"0","-","0","0","0"
1,"aa5pKi",1,117,2022,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",294,97,"0","-","0","0","0"
1,"aa5pKi",1,118,2023,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",300,97,"0","-","0","0","0"
1,"aa5pKi",1,119,2024,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",353,7,"0","-","0","0","0"
1,"aa5pKi",1,120,2025,41,"Dem. Rep. of the Congo","COD","COD",26,"Botswana","BOT","BWA",379,16,"0","-","0","0","0"
1,"aa5pKi",1,121,1968,47,"Cabo Verde","CVI","CPV",26,"Botswana","BOT","BWA",120,"0","0","-","0","0","0"
1,"aa5pKi",1,122,2001,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA","0",5,"0","-","0","0","0"
1,"aa5pKi",1,123,2002,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA","0",5,"0","-","0","0","0"
1,"aa5pKi",1,124,2003,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA","0",5,"0","-","0","0","0"
1,"aa5pKi",1,125,2004,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA","0",5,"0","-","0","0","0"
1,"aa5pKi",1,126,2005,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",7,"0","0","-","0","0","0"
1,"aa5pKi",1,127,2006,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",8,"0","0","-","0","0","0"
1,"aa5pKi",1,128,2007,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
1,"aa5pKi",1,129,2008,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",9,"0","0","-","0","0","0"
1,"aa5pKi",1,130,2009,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",9,"0","0","-","0","0","0"
1,"aa5pKi",1,131,2010,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",8,"0","0","-","0","0","0"
1,"aa5pKi",1,132,2011,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",8,"0","0","-","0","0","0"
1,"aa5pKi",1,133,2015,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",10,"0","0","-","0","0","0"
1,"aa5pKi",1,134,2016,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",10,"0","0","-","0","0","0"
1,"aa5pKi",1,135,2017,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",10,"0","0","-","0","0","0"
1,"aa5pKi",1,136,2018,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",10,"0","0","-","0","0","0"
1,"aa5pKi",1,137,2019,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
1,"aa5pKi",1,138,2020,56,"Eritrea","ERT","ERI",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
1,"aa5pKi",1,139,1993,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",12,"0","0","-","0","0","0"
1,"aa5pKi",1,140,1995,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
1,"aa5pKi",1,141,1996,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
1,"aa5pKi",1,142,1997,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
1,"aa5pKi",1,143,2000,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",6,5,"0","-","0","0","0"
1,"aa5pKi",1,144,2001,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",12,12,"0","-","0","0","0"
1,"aa5pKi",1,145,2002,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",15,19,"0","-","0","0","0"
1,"aa5pKi",1,146,2003,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",15,21,"0","-","0","0","0"
1,"aa5pKi",1,147,2004,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",15,20,"0","-","0","0","0"
1,"aa5pKi",1,148,2005,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",9,"0","0","-","0","0","0"
1,"aa5pKi",1,149,2006,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",9,"0","0","-","0","0","0"
1,"aa5pKi",1,150,2007,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",6,"0","0","-","0","0","0"
1,"aa5pKi",1,151,2008,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",5,6,"0","-","0","0","0"
1,"aa5pKi",1,152,2009,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",5,10,"0","-","0","0","0"
1,"aa5pKi",1,153,2010,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",8,5,"0","-","0","0","0"
1,"aa5pKi",1,154,2011,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",9,7,"0","-","0","0","0"
1,"aa5pKi",1,155,2012,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",12,5,"0","-","0","0","0"
1,"aa5pKi",1,156,2013,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",6,"0","0","-","0","0","0"
1,"aa5pKi",1,157,2014,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",7,"0","0","-","0","0","0"
1,"aa5pKi",1,158,2015,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
1,"aa5pKi",1,159,2016,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
1,"aa5pKi",1,160,2017,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
1,"aa5pKi",1,161,2018,58,"Ethiopia","ETH","ETH",26,"Botswana","BOT","BWA",5,"0","0","-","0","0","0"
